project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
MARSH LANDING GENERATION STATION - SIMPLE CYCLE UNITS,320.0,Natural Gas,,,100.0,CONTRA COSTA,CA,PGAE,,Contra Costa Substation 230kV switchyard,COMPLETED,completed,other,0,1,0
MARIPOSA ENERGY PROJECT (FKA DGC KELSO CT),334.0,Natural Gas,,,195.9,ALAMEDA,CA,PGAE,,Kelso Substation 230kV bus,COMPLETED,completed,other,0,1,0
BORREGO SOLAR I,337.0,Solar,,,25.75,SAN DIEGO,CA,SDGE,,Borrego Substation 69 kV,COMPLETED,completed,solar,0,1,0
ATWELL ISLAND PV SOLAR GENERATING FACILITY,340.0,Solar,,,20.0,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,COMPLETED,completed,solar,0,1,0
CUYAMA SOLAR,356.0,Solar,,,40.0,SAN LUIS OBISPO,CA,PGAE,,Taft-Cuyama #1 70kV line,COMPLETED,completed,solar,0,1,0
ALMASOL,365.0,Solar,Battery,,457.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
SOLAR STAR 1 ,407.0,Solar,,,310.0,KERN,CA,SCE,Northern,Cottonwind-Whirlwind 230kV line,COMPLETED,completed,solar,0,1,0
SOLAR STAR 2,408.0,Solar,,,276.0,KERN,CA,SCE,Northern,Cottonwind-Whirlwind 230kV line,COMPLETED,completed,solar,0,1,0
AV SOLAR ONE PROJECT,412.0,Solar,,,250.0,LOS ANGELES,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,solar,0,1,0
SLOTH,421.0,Solar,Battery,,49.5,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 220kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
WISTARIA RANCH SOLAR ENERGY,429.0,Solar,,,100.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
CENTINELA SOLAR ENERGY,442.0,Solar,,,125.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
SILVER STATE SOUTH SOLAR PROJECT,467.0,Solar,Battery,,230.0,CLARK,NV,SCE,EOP,Eldorado-Ivanpah 230kV line,COMPLETED,completed,hybrid_solar_storage,0,1,0
AGUA CALIENTE,468.0,Solar,,,290.0,YUMA,AZ,SDGE,,Hoodoo Wash Switchyard 500 kV,COMPLETED,completed,solar,0,1,0
BLUE LAKE POWER,472.0,Biofuel,Biofuel,,0.0,,,PGAE,,Blue Lake Power Substation,COMPLETED,completed,other,0,1,0
ALPAUGH NORTH PV SOLAR GENERATING FACILITY,473.0,Solar,,,20.0,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,COMPLETED,completed,solar,0,1,0
AMERESCO BUTTE COUNTY LANDFILL,477.0,Biofuel,,,4.0,BUTTE,CA,PGAE,,Centerville-Table Mountain 60kV line,COMPLETED,completed,other,0,1,0
CORCORAN PV GENERATION FACILITY,478.0,Solar,,,20.0,KINGS,CA,PGAE,,Corcoran-Kingsburg 115kV #2 line,COMPLETED,completed,solar,0,1,0
WHITE RIVER PV 20MVA SOLAR GENERATION FACILITY,479.0,Solar,,,20.0,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,COMPLETED,completed,solar,0,1,0
BVBP REPOWERING PROJECT,481.0,Biofuel,,,18.4,AMADOR,CA,PGAE,,Valley Springs-Martel #2 60kV line,COMPLETED,completed,other,0,1,0
ATWELL WEST PV SOLAR GENERATING FACILITY,482.0,Solar,,,20.0,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,COMPLETED,completed,solar,0,1,0
LOST HILLS SOLAR,484.0,Solar,,,20.0,SAN FRANCISCO,CA,PGAE,,Arco-Carneras 70 kV Line,COMPLETED,completed,solar,0,1,0
TULLOCH POWERHOUSE,495.0,Water,,,7.2,TUOLUMNE,CA,PGAE,,Tulloch 115kV tap,COMPLETED,completed,other,0,1,0
SILVER STATE SOUTH SOLAR PROJECT (FKA SILVER STATE SOLAR II),502.0,Solar,,,20.0,CLARK,NV,SCE,EOP,Eldorado-Ivanpah 230kV line,COMPLETED,completed,solar,0,1,0
CMS2 (FKA BOULDER CITY PV),503.0,Solar,,,155.0,CLARK,NV,SDGE,,Merchant Switchyard 230 kV,COMPLETED,completed,solar,0,1,0
EL CAJON ENERGY CENTER,509.0,Natural Gas,,,49.9,SAN DIEGO,CA,SDGE,,El Cajon Substation 69 kV,COMPLETED,completed,other,0,1,0
IV SUBSTATION SOUTH,510.0,Solar,,,130.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
OLD RIVER 1,517.0,Solar,,,20.0,KERN,CA,PGAE,,Kern-Old River #1 70kV line,COMPLETED,completed,solar,0,1,0
PAIGE SOLAR ,526.0,Solar,,,20.0,FRESNO,CA,PGAE,,Schindler-Coalinga #2 70kV line,COMPLETED,completed,solar,0,1,0
FRESHWATER SOLAR GENERATING FACILITY (FKA SWEETWATER PV 20MVA SOLAR GENERATING FACILITY),529.0,Solar,,,20.0,KINGS,CA,PGAE,,Corcoran- Kingsburg #1 115kV line,COMPLETED,completed,solar,0,1,0
WHITNEY POINT SOLAR,532.0,Solar,,,20.0,FRESNO,CA,PGAE,,Schindler-Huron-Gates 70kV line,COMPLETED,completed,solar,0,1,0
VEGA SOLAR (FKA: FRV VEGA SOLAR),548.0,Solar,,,20.0,KINGS,CA,PGAE,,Mercy Springs Substation 70kV,COMPLETED,completed,solar,0,1,0
WHITE RIVER 2 (FKA:WHITE RIVER WEST 19.75 MW PV GENERATION FACILTY),557.0,Solar,,,19.75,TULARE,CA,PGAE,,Smyrna-Alpaugh 115kV line,COMPLETED,completed,solar,0,1,0
CORCORAN 2 GENERATING FACILITY (FKA: CORCORAN WEST 19.75 MW PV GENERATION FACILTY),558.0,Solar,,,19.75,KINGS,CA,PGAE,,Corcoran-Kingsburg #2 115kV,COMPLETED,completed,solar,0,1,0
REGULUS SOLAR (FKA FRV REGULUS SOLAR),559.0,Solar,,,60.0,KERN,CA,PGAE,,Wheeler Ridge-Lamont 115kV,COMPLETED,completed,solar,0,1,0
RUSSELL CITY ENERGY CENTER FD3 UPGRADE,568.0,Natural Gas,,,25.0,ALAMEDA,CA,PGAE,,Eastshore Substation 230kV Bus,COMPLETED,completed,other,0,1,0
PIO PICO ENERGY CENTER,574.0,Natural Gas,,,308.0,SAN DIEGO,CA,SDGE,,Otay Mesa Switchyard 230 kV,COMPLETED,completed,other,0,1,0
BLYTHE MESA SOLAR,576.0,Solar,Battery,,224.0,RIVERSIDE,CA,SCE,Eastern,Colorado River Sub 230kV Bus,COMPLETED,completed,hybrid_solar_storage,0,1,0
SOLAR STAR CALIFORNIA XIII (QUINTO),577.0,Solar,,,110.0,MERCED,CA,PGAE,,Los Banos-Westley 230kV,COMPLETED,completed,solar,0,1,0
HENRIETTA SOLAR (FKA SUNPOWER HENRIETTA SOLAR),581.0,Solar,,,100.0,KINGS,CA,PGAE,,Henrietta-GWF 115 kV Line,COMPLETED,completed,solar,0,1,0
CAMPO VERDE SOLAR (FKA USS WIXOM SOLAR 1),590.0,Solar,,,147.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
CATALINA SOLAR,602.0,Solar,,,145.44,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,solar,0,1,0
TRACY - ADDITIONAL CAPACITY,606.0,Natural Gas,,,20.0,SAN JOAQUIN,CA,PGAE,,Schulte Switching Station 115kV bus,COMPLETED,completed,other,0,1,0
NORTH STAR SOLAR 1,607.0,Solar,,,60.0,FRESNO,CA,PGAE,,Mendota Substation 115 kV bus,COMPLETED,completed,solar,0,1,0
IMPERIAL VALLEY WEST,608.0,Solar,,,150.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
MARICOPA WEST SOLAR PV (FKA COPUS SOLAR ONE),620.0,Solar,,,20.0,KERN,CA,PGAE,,Copus Road Sub 70kV bus,COMPLETED,completed,solar,0,1,0
ORION SOLAR I (FKA: FRV ORION KERN SOLAR),,Solar,,,20.0,KERN,CA,PGAE,,Weedpatch - San Bernard 70 KV line,COMPLETED,completed,solar,0,1,0
ADOBE SOLAR (FKA FRV ADOBE SOLAR),,Solar,,,20.0,KERN,CA,PGAE,,Wheeler Ridge-Lamont 115 kv,COMPLETED,completed,solar,0,1,0
ADAMS EAST,632.0,Solar,,,19.0,FRESNO,CA,PGAE,,Wesix 70kV Tap,COMPLETED,completed,solar,0,1,0
SUMMER WHEAT SOLAR FARM,,Solar,,,18.5,FRESNO,CA,PGAE,,Stroud switching station 70kV,COMPLETED,completed,solar,0,1,0
WESTLANDS SOLAR FARM PV1,633.0,Solar,,,18.0,FRESNO,CA,PGAE,,Gates-Coalinga 70 kV Line #1,COMPLETED,completed,solar,0,1,0
KANSAS,636.0,Solar,,,20.0,KINGS,CA,PGAE,,Leprino Food (Lemoore) 115 kV Tap Line,COMPLETED,completed,solar,0,1,0
KANSAS SOUTH,637.0,Solar,,,20.0,KINGS,CA,PGAE,,Henrietta-Jacobs Corner 70kV,COMPLETED,completed,solar,0,1,0
DESERT HARVEST ,,Solar,Battery,,150.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Sub 230kV Bus,COMPLETED,completed,hybrid_solar_storage,0,1,0
WILLOW SPRINGS 2,,Solar,,,100.0,KERN,CA,SCE,Northern,Whirlwind Sub 230 kV Bus,COMPLETED,completed,solar,0,1,0
CENTINELA SOLAR ENERGY EXPANSION (45 MW) ,,Solar,,,45.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
SPI ANDERSON 2,,Biofuel,Biofuel,,27.15,,,PGAE,,Cascade-Cottonwood 115 kV,COMPLETED,completed,other,0,1,0
MESQUITE SOLAR 1 (FKA MESQUITE GENERATION),,Solar,,,165.0,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV,COMPLETED,completed,solar,0,1,0
RE MUSTANG,,Solar,Battery,,100.0,KINGS,CA,PGAE,,Gates-Gregg 230 kV and Gates-McCall 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
RE TRANQUILLITY,,Solar,Battery,,200.0,FRESNO,CA,PGAE,,Helm-Panoche 230 kV and Panoche-Kearney 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
CHOWCHILLA SOLAR PROJECT,644.0,Solar,,,20.0,MADERA,CA,PGAE,,Dairyland - Legrand 115 kV,COMPLETED,completed,solar,0,1,0
JACUMBA SOLAR FARM,,Solar,,,20.0,SAN DIEGO,CA,SDGE,,East County Substation 138 kV,COMPLETED,completed,solar,0,1,0
KENT SOUTH,,Solar,,,20.0,KINGS,CA,PGAE,,Henrietta-Tulare Lake 70kV,COMPLETED,completed,solar,0,1,0
WEST ANTELOPE SOLAR (FKA: TA - ACACIA),,Solar,,,20.0,LOS ANGELES,CA,SCE,,Antlelope Sub 66 kV Bus,COMPLETED,completed,solar,0,1,0
SOUTH KERN SOLAR PV PLANT,,Solar,,,20.0,KERN,CA,PGAE,,Copus-Old River 70 kV,COMPLETED,completed,solar,0,1,0
WESTERN ANTELOPE DRY RANCH,,Solar,,,10.0,LOS ANGELES,CA,SCE,Northern,Antelope Sub 66 kV Bus,COMPLETED,completed,solar,0,1,0
WILDWOOD SOLAR I (FKA GOOSE LAKE SOLAR I),654.0,Solar,,,20.0,KERN,CA,PGAE,,Semitropic-Midway #2 115kV,COMPLETED,completed,solar,0,1,0
CENTRAL ANTELOPE SOLAR (FKA WESTERN ANTELOPE BLUE SKY RANCH B),659.0,Solar,,,20.0,LOS ANGELES,CA,SCE,Northern,Antelope Sub 66 kV Bus,COMPLETED,completed,solar,0,1,0
WESTERN ANTELOPE BLUE SKY RANCH A,660.0,Solar,,,20.0,LOS ANGELES,CA,SCE,Northern,Antelope Sub 66 kV Bus,COMPLETED,completed,solar,0,1,0
SIERRA SOLAR GWX (FKA SILVER SUN GREENWORKS),662.0,Solar,,,20.0,LOS ANGELES,CA,SCE,Northern,Antelope Sub 66 kV Bus,COMPLETED,completed,solar,0,1,0
BURFORD GIFFEN,679.0,Solar,,,20.0,FRESNO,CA,PGAE,,Giffen substation 70 KV,COMPLETED,completed,solar,0,1,0
COLUMBIA SOLAR ENERGY 2 FKA COLUMBIA SOLAR ENERGY II,687.0,Solar,,,20.0,CONTRA COSTA,CA,PGAE,Northern,Pittsburg-Kirker-Columbia Steel 115 kV Line,COMPLETED,completed,solar,0,1,0
FRONTIER SOLAR ,705.0,Solar,,,20.0,KERN,CA,PGAE,,Arco-Carneras 70 kV line,COMPLETED,completed,solar,0,1,0
GOLDEN HILLS 2 WIND,709.0,Wind Turbine,,,36.0,ALAMEDA,CA,PGAE,,Tesla Sub 115  KV,COMPLETED,completed,wind,0,1,0
LOTUS SOLAR FARM,723.0,Solar,,,50.0,MADERA,CA,PGAE,,Borden 70kV,COMPLETED,completed,solar,0,1,0
RE ASTORIA,746.0,Solar,,,175.0,KERN,CA,SCE,Northern,Whirlwind Substation 220kV,COMPLETED,completed,solar,0,1,0
MORELOS DEL SOL (FKA TWISSLEMAN I),775.0,Solar,,,15.0,KERN,CA,PGAE,,Arco-Twisselman 70 KV,COMPLETED,completed,solar,0,1,0
NORTH LANCASTER SOLAR (FKA WESTERN ANTELOPE DRY RANCH ADDITION),778.0,Solar,,,20.0,LOS ANGELES,CA,SCE,Northern,Antelope Substation 66 kV bus,COMPLETED,completed,solar,0,1,0
KINGBIRD SOLAR A (FKA AV SOLAR RANCH 2-A),795.0,Solar,,,20.0,KERN,CA,SCE,Northern,Whirlwind Substation 230 kV bus,COMPLETED,completed,solar,0,1,0
KINGBIRD SOLAR B (FKA AV SOLAR RANCH 2-B,796.0,Solar,,,20.0,KERN,CA,SCE,Northern,Whirlwind Substation 230 kV bus,COMPLETED,completed,solar,0,1,0
PV2 PANOCHE VALLEY SOLAR (AKA SGE PANOCHE VALLEY SOLAR),829.0,Solar,,,140.0,SAN BENITO,CA,PGAE,,Moss-Panoche and Coburn-Panoche 230 KV,COMPLETED,completed,solar,0,1,0
BLUE HORNET SOLAR,838.0,Solar,,,100.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,COMPLETED,completed,solar,0,1,0
COPPER MOUNTAIN SOLAR 4,855.0,Solar,,,92.0,CLARK,NV,SDGE,,Merchant Switchyard 230 kV,COMPLETED,completed,solar,0,1,0
VASCO WIND PROJECT,860.0,Wind Turbine,,,3.1,CONTRA COSTA,CA,PGAE,,Lone Tree-Cayetano at the Jackson Substation,COMPLETED,completed,wind,0,1,0
CALIFORNIA FLATS SOLAR,877.0,Solar,Battery,,280.0,MONTEREY,CA,PGAE,,Morro-Gates 230kV line,COMPLETED,completed,hybrid_solar_storage,0,1,0
SKIC SOLAR,885.0,Solar,,,10.0,KERN,CA,PGAE,,Copus-Old River 70 kV line,COMPLETED,completed,solar,0,1,0
WILDWOOD SOLAR 2,901.0,Solar,,,15.0,KERN,CA,PGAE,,Semitropic-Midway 115 kV line,COMPLETED,completed,solar,0,1,0
MOJAVE SOLAR,909.0,Solar,,,25.0,SAN BERNARDINO,CA,SCE,NOL,Sandlot Substation 220kV,COMPLETED,completed,solar,0,1,0
PASTORIA ENERGY FACILITY,911.0,Natural Gas,,,50.0,KERN,CA,SCE,Northern,Pastoria Substation 220kV,COMPLETED,completed,other,0,1,0
LECU,945.0,Natural Gas,,,24.0,SAN JOAQUIN,CA,PGAE,,Lodi STIG 230 kV Substation,COMPLETED,completed,other,0,1,0
NORTHERN ORCHARD SOLAR,946.0,Solar,Battery,,100.0,KERN,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,COMPLETED,completed,hybrid_solar_storage,0,1,0
MESQUITE SOLAR 2,952.0,Solar,,,100.81,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV,COMPLETED,completed,solar,0,1,0
FIFTH STANDARD SOLAR,954.0,Solar,Battery,,150.0,FRESNO,CA,PGAE,Fresno,Gates Substation 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
LOS MEDANOS ENERGY CENTER,963.0,Natural Gas,,,72.0,CONTRA COSTA,CA,PGAE,,Pittsburg Substation 115 kV bus,COMPLETED,completed,other,0,1,0
JAVA SOLAR,965.0,Solar,,,13.5,KINGS,CA,PGAE,,Henrietta-GWF 115 kV Line,COMPLETED,completed,solar,0,1,0
PALOMAR ENERGY CENTER 2,968.0,Natural Gas,,,35.0,SAN DIEGO,CA,SDGE,,Palomar Energy Switchyard 230 kV,COMPLETED,completed,other,0,1,0
GARLAND,971.0,Solar,Battery,,200.0,KERN,CA,SCE,Northern,Whirlwind Substation 220kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
SUNSHINE VALLEY SOLAR 2 ,994.0,Solar,,,50.0,NYE,NV,VEA,,Valley Substation 138kV ,COMPLETED,completed,solar,0,1,0
PEARBLOSSOM SOLAR,,Solar,,,9.5,LOS ANGELES,CA,SCE,Northern,Vincent Substation 230kV,COMPLETED,completed,solar,0,1,0
MERCED POWER,1005.0,Biofuel,,,0.5,MERCED,CA,PGAE,,Merced #1 70kV Line,COMPLETED,completed,other,0,1,0
DYER SUMMIT WIND REPOWER,1010.0,Wind Turbine,,,44.8,SAN JOAQUIN,CA,PGAE,,Vasco-Herdlyn 60kV line,COMPLETED,completed,wind,0,1,0
RICHMOND STEAM TURBINE,1016.0,Natural Gas,,,0.0,CONTRA COSTA,CA,PGAE,,Standard Oil Switching Station 115kV,COMPLETED,completed,other,0,1,0
BLACKBRIAR,1027.0,Battery,,,20.0,FRESNO,CA,PGAE,Fresno,Gates Substation 230kV,COMPLETED,completed,storage,0,1,0
TRANQUILLITY 8,1032.0,Solar,,,200.0,FRESNO,CA,PGAE,,Tranquillity Switchyard 230kV,COMPLETED,completed,solar,0,1,0
MUSTANG 2,1036.0,Solar,,,150.0,KINGS,CA,PGAE,,Mustang Switchyard 230 kV,COMPLETED,completed,solar,0,1,0
ARLINGTON VALLEY SOLAR ENERGY 2,1040.0,Solar,,,127.0,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV,COMPLETED,completed,solar,0,1,0
MESQUITE SOLAR 3,1053.0,Solar,,,152.0,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV,COMPLETED,completed,solar,0,1,0
PIO PICO CAPACITY INCREASE (FKA PIO PICO ENERGY CENTER 2),1058.0,Natural Gas,,,10.0,SAN DIEGO,CA,SDGE,,Otay Mesa Switchyard 230 kV,COMPLETED,completed,other,0,1,0
VISTA ENERGY STORAGE,1061.0,Battery,,,20.0,SAN DIEGO,CA,SDGE,,Melrose Substation 69 kV,COMPLETED,completed,storage,0,1,0
BEAR CANYON ENERGY STORAGE,1097.0,Battery,,,13.0,LAKE,CA,PGAE,Northern,Geysers #12-Fulton 230 kV Line,COMPLETED,completed,storage,0,1,0
CENTRAL 40,1103.0,Solar,,,40.0,STANISLAUS,CA,PGAE,,Miller #1 115 kV line,COMPLETED,completed,solar,0,1,0
NORTH CENTRAL VALLEY,1109.0,Battery,,,132.0,SAN JOAQUIN,CA,PGAE,Northern,Belotta 115 kV,COMPLETED,completed,storage,0,1,0
BLACK DIAMOND ENERGY STORAGE,1111.0,Battery,,,200.0,CONTRA COSTA,CA,PGAE,,Pittsburgh Substation 230kV,COMPLETED,completed,storage,0,1,0
ULTRAPOWER CHINESE STATION BESS,1116.0,Battery,,,10.0,TUOLUMNE,CA,PGAE,Northern,Melones-Curtis 115 kV Line,COMPLETED,completed,storage,0,1,0
AQUAMARINE WESTSIDE,1117.0,Solar,,,250.0,KINGS,CA,PGAE,,Gates Substation 230 kV,COMPLETED,completed,solar,0,1,0
CHESTNUT WESTSIDE,1120.0,Solar,Battery,,150.0,KINGS,CA,PGAE,Fresno,Gates 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
WESTLANDS ALMOND,1136.0,Solar,,,19.88,KINGS,CA,PGAE,Fresno,Kent 70 kV,COMPLETED,completed,solar,0,1,0
WESTLANDS SOLAR BLUE,1139.0,Solar,Battery,,250.0,KINGS,CA,PGAE,Fresno,Gates 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
SLATE,1158.0,Solar,Battery,,300.0,KINGS,CA,PGAE,Fresno,Mustang Switching Station 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
GATEWAY ENERGY STORAGE,1170.0,Battery,,,250.0,SAN DIEGO,CA,,,Otay Mesa Switchyard 230 kV,COMPLETED,completed,storage,0,1,0
MCFARLAND SOLAR,1171.0,Solar,Battery,,500.0,YUMA,AZ,SDGE,,Hoodoo Wash Switchyard 500 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
SUN STREAMS SOLAR 2,1189.0,Solar,,,150.0,MARICOPA,AZ,SDGE,,Hassayampa Common Bus 500 kV,COMPLETED,completed,solar,0,1,0
VALLEY CENTER ENERGY STORAGE,1191.0,Battery,,,119.0,SAN DIEGO,CA,SDGE,,Valley Center Substation 69 kV,COMPLETED,completed,storage,0,1,0
CRIMSON,1192.0,Battery,,,350.0,RIVERSIDE,CA,SCE,Eastern,Colorado River Substation 230kV,COMPLETED,completed,storage,0,1,0
ARLINGTON,1196.0,Solar,Battery,,400.0,RIVERSIDE,CA,SCE,Eastern,Colorado River Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
QUARTZITE SOLAR 8,1198.0,Solar,Battery,,150.0,RIVERSIDE,CA,SCE,Eastern,Colorado River Substation 220kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
VICTORY PASS SOLAR,1200.0,Solar,Battery,,200.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
ROSAMOND SOUTH EAST,1211.0,Solar,Battery,,101.7,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
ANTELOPE VALLEY COMPLEX,1215.0,Solar,Battery,,150.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
PROXIMA SOLAR,1244.0,Solar,Battery,,300.0,STANISLAUS,CA,PGAE,Fresno,Fink 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
NORTHERN ORCHARD SOLAR 2,1259.0,Solar,,,50.0,KERN,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,COMPLETED,completed,solar,0,1,0
CASCADE ENERGY STORAGE,1272.0,Battery,,,25.0,SAN JOAQUIN,CA,PGAE,Northern,Weber 60 kV ,COMPLETED,completed,storage,0,1,0
KOLA,1275.0,Battery,,,400.0,ALAMEDA,CA,PGAE,Northern,Tesla 230 kV,COMPLETED,completed,storage,0,1,0
SPI SONORA,1283.0,Biofuel,,,7.5,TUOLUMNE,CA,PGAE,Northern,Donnels-Curtis at PG&E switch 183 115vK,COMPLETED,completed,other,0,1,0
MESQUITE SOLAR 4,1291.0,Battery,Solar,,52.5,MARICOPA,AZ,SDGE,SDGE,Hassayampa Common Bus 500 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
VISTA ENERGY STORAGE 2,1294.0,Battery,,,20.0,SAN DIEGO,CA,SDGE,,Melrose Substation 69 kV,COMPLETED,completed,storage,0,1,0
MARVEL,1295.0,Battery,,,400.0,RIVERSIDE,CA,SCE,Eastern,Devers Substation 230kV,COMPLETED,completed,storage,0,1,0
SOL CATCHER BESS,1302.0,Battery,Solar,,213.5,RIVERSIDE,CA,SCE,Eastern,Red Bluff 220 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
DAGGETT SOLAR 1,1312.0,Battery,,,113.5,SAN BERNARDINO,CA,SCE,NOL,Coolwater Substation 115kV,COMPLETED,completed,storage,0,1,0
DAGGETT SOLAR 2,1313.0,Solar,Battery,,182.0,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
WILLY 9,1319.0,Solar,Battery,,250.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
EDSAN 1,1324.0,Solar,Battery,,300.0,KERN,CA,SCE,Northern,Windhub Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
SAGEBRUSH SOLAR 2,1325.0,Battery,,,179.0,KERN,CA,SCE,Northern,Vincent Substation 230kV,COMPLETED,completed,storage,0,1,0
CYCLONE SOLAR,1327.0,Solar,Battery,,40.0,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
TROPICO SOLAR,1329.0,Solar,Battery,,110.0,KERN,CA,SCE,Northern,Whirlwind Substation 230 kV ,COMPLETED,completed,hybrid_solar_storage,0,1,0
YELLOW PINE 2,1341.0,Solar,Battery,,250.0,CLARK,NV,GLW,,Crazy Eyes Substation 230 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
PIO PICO PLUS,1348.0,Natural Gas,,,18.0,USA,CA,SDGE,,Otay Mesa Switchyard 230 kV ,COMPLETED,completed,other,0,1,0
PAULSELL SOLAR ENERGY CENTER,1350.0,Solar,Battery,,20.0,STANISLAUS,CA,PGAE,Northern,Crow Creek 60 kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
WEST FORD FLAT ENERGY STORAGE,1367.0,Battery,,,25.0,LAKE,CA,PGAE,Northern,Fulton 230 kV,COMPLETED,completed,storage,0,1,0
ELKHORN ENERGY STORAGE,1374.0,Battery,,,182.5,MONTEREY,CA,PGAE,Fresno,Moss Landing Substation 115kV,COMPLETED,completed,storage,0,1,0
SANDRINI SOL 2,1398.0,Solar,,,200.0,KERN,CA,PGAE,Kern,Wheeler Ridge 230 kV,COMPLETED,completed,solar,0,1,0
MOUNTAINVIEW GENERATING STATION PMAX INCREASE,1407.0,Natural Gas,,,38.0,SAN BERNARDINO,CA,SCE,Eastern,San Bernardino Substation 230kV,COMPLETED,completed,other,0,1,0
HIGH 5 SOLAR,1414.0,Solar,Battery,,100.0,SAN BERNARDINO,CA,SCE,NOL,Victor Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
EDSAN 2,1424.0,Solar,Battery,,500.0,KERN,CA,SCE,Northern,Windhub Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
TOP GUN ENERGY STORAGE,1434.0,Battery,,,30.0,SAN DIEGO,CA,SDGE,,Miramar GT Substation 69 kV,COMPLETED,completed,storage,0,1,0
WIND WALL MONOLITH 1,1439.0,Wind Turbine,,,4.96,,,SCE,Northern,Vincent Substation 220kV,COMPLETED,completed,wind,0,1,0
WIND WALL MONOLITH  2,1440.0,Wind Turbine,,,3.7,KERN,CA,SCE,Northern,Vincent Substation 220kV,COMPLETED,completed,wind,0,1,0
CABALLERO STORAGE,1470.0,Battery,,,99.7,SAN LUIS OBISPO,CA,PGAE,Kern,Mesa 230 kV,COMPLETED,completed,storage,0,1,0
DALLAS ENERGY STORAGE,1472.0,Battery,,,400.0,MONTEREY,CA,PGAE,Fresno,Moss Landing Substation 500kV,COMPLETED,completed,storage,0,1,0
PANOCHE ENERGY CENTER C11,1484.0,Natural Gas,,,427.0,FRESNO,CA,PGAE,Fresno,Panoche 230 kV,COMPLETED,completed,other,0,1,0
REXFORD SOLAR FARM,1516.0,Solar,Battery,,300.0,TULARE,CA,SCE,Northern,Vestal Substation 230kV,COMPLETED,completed,hybrid_solar_storage,0,1,0
