project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
NORTH JOHNSON ENERGY CENTER,1047.0,Battery,,,50.0,SAN DIEGO,CA,SDGE,SDGE,El Cajon Substation 69 kV,ACTIVE,active,storage,0,0,1
ESCONDIDO ENERGY CENTER 2,1048.0,Battery,,,33.0,SAN DIEGO,CA,SDGE,SDGE,Escondido Substation 69 kV,ACTIVE,active,storage,0,0,1
WHITE WING RANCH SOLAR,1062.0,Solar,Battery,,200.0,YUMA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ARES NEVADA ,1064.0,Gravity via Rail,,,44.0,NYE,NV,GLW,,Gamebird Substation 230 kV,ACTIVE,active,other,0,0,1
GASKELL WEST,1074.0,Solar,Battery,,125.0,KERN,CA,SCE,Northern,Whirlwind Substation 220 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
WILLOW SPRINGS SOLAR 3,1076.0,Battery,,,50.0,KERN,CA,SCE,Northern,Whirlwind Substation 230 kV,ACTIVE,active,storage,0,0,1
ALTAMONT MIDWAY LTD,1096.0,Wind Turbine,,,5.0,ALAMEDA,CA,PGAE,Northern,Altamont Midway 230 kV ,ACTIVE,active,wind,0,0,1
FOUNTAIN WIND,1106.0,Wind Turbine,,,200.0,SHASTA,CA,PGAE,Northern,Pit 1-Cottonwood 230 kV Line ,ACTIVE,active,wind,0,0,1
LITTLE BEAR 3,1127.0,Solar,Battery,,20.0,FRESNO,CA,PGAE,,Mendota Substation 115kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LITTLE BEAR 4,1128.0,Solar,Battery,,100.0,FRESNO,CA,PGAE,Fresno,Mendota Substation 115kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LUNA VALLEY SOLAR,1129.0,Solar,Battery,,200.0,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SCARLET,1135.0,Solar,Battery,,400.0,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LAKE ALPAUGH BATTERY STORAGE,1143.0,Battery,,,10.0,TULARE,CA,PGAE,Kern,Corcoran-Olive 115 kV Line,ACTIVE,active,storage,0,0,1
BIG ROCK SOLAR FARM,1166.0,Battery,,,200.0,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,ACTIVE,active,storage,0,0,1
FALLBROOK ENERGY STORAGE,1169.0,Battery,,,69.6,SAN DIEGO,CA,SDGE,SDGE,Avocado Substation 69 kV,ACTIVE,active,storage,0,0,1
LECONTE ENERGY STORAGE,1175.0,Battery,,,125.0,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,ACTIVE,active,storage,0,0,1
