source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,PGE,,Fresno,Le Grand Substation,storage,101.1,,,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,Le Grand Substation,storage,65.47,solar,131.43,,,130.0,
cluster14,intake_snapshot,PGE,,GBA,Llagas Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Lockeford Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Logan Creek Substation,storage,150.0,solar,160.19,,,150.0,
cluster14,intake_snapshot,PGE,,GBA,Meadows - Lakewood Line,storage,62.5,,,,,62.0,
cluster14,intake_snapshot,PGE,,GBA,Millbrae - San Mateo #1 Line,storage,55.5,,,,,55.0,
cluster14,intake_snapshot,PGE,,GBA,Oakland J - Grant Line,storage,151.3,,,,,150.0,
cluster14,intake_snapshot,PGE,,Fresno,Los Banos Substation,storage,1150.0,,,,,1150.0,
cluster14,intake_snapshot,PGE,,Fresno,Los Banos Substation,storage,550.0,,,,,550.0,
cluster14,intake_snapshot,PGE,,Fresno,Los Banos Substation,storage,101.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,Los Esteros Substation,storage,509.8,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Los Esteros Substation,storage,256.29,,,,,250.0,
cluster14,intake_snapshot,PGE,,NGBA,Lower Lake Substationm,wind,120.0,,,,,118.4,
cluster14,intake_snapshot,PGE,,Fresno,McCall Substation,storage,772.245,,,,,750.0,
cluster14,intake_snapshot,PGE,,Fresno,Mendota Substation,storage,152.8,solar,153.1,,,150.0,
cluster14,intake_snapshot,PGE,,GBA,Metcalf - Edenvale #2 Line,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Midway Substation,storage,1000.0,solar,1000.0,,,1000.0,
cluster14,intake_snapshot,PGE,,Kern,Midway Substation,solar,358.875,,,,,352.09,
cluster14,intake_snapshot,PGE,,Kern,Midway Substation,storage,100.9,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Midway Substation,storage,101.95,solar,101.95,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Midway Substation,storage,115.0,,,,,115.0,
cluster14,intake_snapshot,PGE,,Kern,Midway - Wheeler Ridge Line,solar,139.7,,,,,137.85,
cluster14,intake_snapshot,PGE,,GBA,Milpitas Substation,storage,40.36,,,,,40.0,
cluster14,intake_snapshot,PGE,,GBA,Monte Vista Substation,storage,500.0,,,,,500.0,
cluster14,intake_snapshot,PGE,,Kern,Morro Bay Switching Station,wind,602.2678,,,,,602.2678,
cluster14,intake_snapshot,PGE,,Kern,Moss Landing Substation,storage,756.813,wind,1525.17,,,1500.0,
cluster14,intake_snapshot,PGE,,Fresno,Los Banos - Gates #1 Line,storage,1182.384,solar,1182.384,,,1150.0,
cluster14,intake_snapshot,PGE,,GBA,Newark Substation,storage,150.0,,,,,150.0,
cluster14,intake_snapshot,PGE,,GBA,Newark Substation,storage,252.0,,,,,252.0,
cluster14,intake_snapshot,PGE,,GBA,Newark - KRS Line,storage,50.0,,,,,50.0,
cluster14,intake_snapshot,PGE,,GBA,Oakland Station J Substation,storage,153.5,solar,153.5,,,150.0,
cluster14,intake_snapshot,PGE,,Kern,Old River Substation,storage,153.5,solar,153.5,,,150.0,
cluster14,intake_snapshot,PGE,,Kern,Olive Switching Station,storage,163.268,solar,163.268,,,160.0,
cluster14,intake_snapshot,PGE,,Fresno,Panoche Substation,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Panoche Substation,storage,264.3,solar,264.3,,,250.0,
cluster14,intake_snapshot,PGE,,Fresno,Panoche Substation,storage,115.0,solar,115.0,,,115.0,
cluster14,intake_snapshot,PGE,,NGBA,Peabody Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,PGE,,Kern,Callender Switching Station,storage,75.0,,,,,75.0,
cluster14,intake_snapshot,PGE,,Fresno,Las Aguinas Switchyard,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,"Martin ""H"" Substation",storage,250.0,,,,,250.0,
cluster14,intake_snapshot,PGE,,Fresno,Moraga Substation,storage,305.0,,,,,300.0,
cluster14,intake_snapshot,PGE,,Fresno,Kearney Substation,storage,337.0,,,,,330.0,
cluster14,intake_snapshot,PGE,,GBA,Piercy Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg Substation,storage,504.2,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg Substation,storage,179.4,,,,,175.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg - Tesla Line,storage,504.0,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg Substation,storage,224.986,,,,,220.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg Substation,storage,504.0,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg - Kirker - USP Line,storage,201.6,,,,,200.0,
cluster14,intake_snapshot,PGE,,GBA,Pittsburg - San Mateo Line,storage,504.0,,,,,500.0,
cluster14,intake_snapshot,PGE,,NGBA,Crow Creek Switching Station,storage,20.4,,,,,0.0,
cluster14,intake_snapshot,PGE,,Fresno,Excelsior Switching Station,storage,61.0,,,,,0.0,
cluster14,intake_snapshot,PGE,,Fresno,Henrietta - Tulare Lake Line,storage,20.4,,,,,0.0,
cluster14,intake_snapshot,PGE,,Fresno,Quinto Switching Station,wind,150.0,,,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Rancho Seco - Bellota #1 Line,storage,407.42,solar,408.4,,,400.0,
cluster14,intake_snapshot,PGE,,GBA,"Richmond ""R"" Substation",storage,126.0,,,,,125.0,
cluster14,intake_snapshot,PGE,,NGBA,Rio Oso Substation,storage,110.84,solar,110.84,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Rio Oso - Atlantic Line,storage,306.55,solar,306.55,,,300.0,
cluster14,intake_snapshot,PGE,,Kern,San Bernard Substation,storage,102.28,solar,103.17,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,Sanger Substation,storage,203.699,,,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Santa Nella Substation,storage,105.735,solar,105.735,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Santa Rosa - Corona Line,storage,189.3015,solar,26.784,,,210.0,
cluster14,intake_snapshot,PGE,,NGBA,Schulte Switching Station,storage,462.57,,,,,450.0,
cluster14,intake_snapshot,PGE,,NGBA,Schulte Switching Station,storage,151.3,,,,,150.0,
cluster14,intake_snapshot,PGE,,GBA,Schulte Switching Station,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Semitropic Substation,storage,101.85577,solar,102.4167,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Shafter Substation,storage,101.86,solar,102.4167,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Silverado Substation,storage,101.8,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Smyrna Substation,storage,100.0,solar,100.0,,,100.0,
cluster14,intake_snapshot,PGE,,GBA,Sobrante - Standard Oil Sw Sta Line,storage,151.2,,,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Table Mountain Substation,storage,205.1,,,,,200.0,
cluster14,intake_snapshot,PGE,,NGBA,Table Mountain Substation,storage,232.1,solar,232.1,,,225.0,
cluster14,intake_snapshot,PGE,,Kern,Templeton Substation,storage,514.83,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Tesla Substation,storage,615.756,,,,,600.0,
cluster14,intake_snapshot,PGE,,GBA,Tesla Substation,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,PGE,,GBA,Tesla Substation,storage,312.96,,,,,300.0,
cluster14,intake_snapshot,PGE,,GBA,Tesla Substation,storage,515.418,,,,,500.0,
cluster14,intake_snapshot,PGE,,GBA,Tesla - Newark #2 Line,storage,504.0,,,,,500.0,
cluster14,intake_snapshot,PGE,,Kern,Diablo Canyon - Gates Line,storage,319.35,wind,1216.0,,,1149.088,
cluster14,intake_snapshot,PGE,,Fresno,Tranquility Switching Station,storage,206.091,solar,206.091,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Tranquility Switching Station,storage,203.66,solar,203.85,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Tranquility Switching Station,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Tupman Substation,storage,101.85577,solar,102.4167,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Vaca Dixon Substation,storage,102.2,,,,,100.0,
cluster14,intake_snapshot,PGE,,Kern,Vaca Dixon Substation,storage,410.76,,,,,400.0,
cluster14,intake_snapshot,PGE,,NGBA,Vaca Dixon Substation,storage,710.2,,,,,700.0,
cluster14,intake_snapshot,PGE,,NGBA,Valley Home Substation,storage,150.0,solar,150.0,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Valley Springs Substation,storage,100.0,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Weber Substation,storage,361.836,,,,,350.0,
cluster14,intake_snapshot,PGE,,Fresno,West Fresno Substation,storage,178.192,,,,,175.0,
cluster14,intake_snapshot,PGE,,Fresno,Westly - Quinto Line,storage,312.96,,,,,300.0,
cluster14,intake_snapshot,PGE,,Kern,Wheeler Ridge Substation,storage,310.63,solar,310.63,,,300.0,
cluster14,intake_snapshot,PGE,,Fresno,Wilson Substation,storage,203.699,,,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Wilson Substation,storage,256.29,,,,,250.0,
