source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,SCE,,Northern,Windhub Substation,storage,506.0,,,,,500.0,
cluster14,intake_snapshot,SCE,,Northern,Moorpark Substation,storage,672.0,,,,,660.0,
cluster14,intake_snapshot,SCE,,Northern,Vestal Substation,storage,214.0983,solar,215.4124,,,200.0,
cluster14,intake_snapshot,SCE,,Northern,Whirlwind Substation,storage,513.2,,,,,500.0,
cluster14,intake_snapshot,SCE,,Northern,Moorpark Substation,storage,473.0,,,,,465.0,
cluster14,intake_snapshot,SCE,,Northern,Highwind Substation,storage,256.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Northern,Whirlwind-Windhub line,storage,407.63,solar,407.63,,,400.0,
cluster14,intake_snapshot,SCE,,Northern,Vestal Substation,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Kramer-Victor line,storage,206.091,solar,206.091,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Kramer-Lugo #1 line,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,NOL,Calcite Substation,storage,55.0,solar,55.0,,,55.0,
cluster14,intake_snapshot,SCE,,NOL,Pisgah Substation,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Victor Substation,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Victor-Lugo line,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Kramer Substation,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,SCE,,NOL,Victorville Substation,storage,404.25,,,,,400.0,
cluster14,intake_snapshot,SCE,,NOL,Pisgah Substation,storage,312.96,solar,312.96,,,300.0,
cluster14,intake_snapshot,SCE,,NOL,Victor Substation,storage,410.76,,,,,400.0,
cluster14,intake_snapshot,SCE,,NOL,Lugo Substation,storage,512.58,,,,,500.0,
cluster14,intake_snapshot,SCE,,NOL,Mira Loma-Vista line,storage,500.0,,,,,500.0,
cluster14,intake_snapshot,SCE,,NOL,Control Substation,Steam Turbine,391.0,,,,,311.0,
cluster14,intake_snapshot,SCE,,NOL,Lugo-Pisgah line,wind,150.0,,,,,150.0,
cluster14,intake_snapshot,SCE,,NOL,Kramer Substation,solar,150.0,wind,150.0,,,150.0,
cluster14,intake_snapshot,SCE,,Metro,Hinson Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,La Cienega Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,SCE,,Metro,Lighthipe Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Mira Loma Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Rio Hondo Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Chino Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,La Cienega Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Walnut Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,El Nido Substation,storage,400.0,,,,,400.0,
cluster14,intake_snapshot,SCE,,Metro,Etiwanda Substation,storage,400.0,,,,,400.0,
