pto,affected_pto,area,total_mw_at_poi,tech_1,mw_t1,tech_2,mw_t2,tech_3,mw_t3,poi,voltage_kv,tech_1_norm,tech_2_norm,tech_3_norm,technology,net_mw
SCE,,Northern,200.0,Battery,200.0,Solar PV,200.0,,,Antelope Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,Northern,20.0,Battery,12.0,Solar PV,20.0,,,Antelope - Neenach 66kV line,66.0,Battery,Solar,,Hybrid (Solar+Storage),20.0
SCE,,Northern,200.0,Battery,200.0,Solar PV,200.0,,,Vestal Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,Northern,200.0,Battery,200.0,Solar PV,200.0,,,Springville Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,Northern,150.0,Battery,150.0,,,,,Moorpark Substation,230.0,Battery,,,Battery,150.0
SCE,,Northern,325.0,Battery,325.0,Solar PV,325.0,,,Vincent Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),325.0
SCE,,Northern,350.0,Battery,225.0,Solar PV,372.3,,,Whirlwind Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
SCE,,Northern,80.0,Solar PV,82.8,,,,,Springville Substation,230.0,Solar,,,Solar,80.0
SCE,,Northern,210.0,Battery,102.672,Solar PV,113.832,,,Antelope-Magunden line,230.0,Battery,Solar,,Hybrid (Solar+Storage),210.0
SCE,,Northern,200.0,Battery,214.0983,Solar PV,215.4124,,,Rector Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,Northern,300.0,Battery,300.0,,,,,Antelope Substation,220.0,Battery,,,Battery,300.0
SCE,,Northern,150.0,Battery,152.6,,,,,Bailey Substation,230.0,Battery,,,Battery,150.0
SCE,,Northern,400.0,Battery,410.76,Solar PV,410.76,,,Rector-Vestal line,230.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
SCE,,Northern,460.0,Battery,350.0,Solar PV,462.42,,,Springville Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),460.0
SCE,,Northern,500.0,Pumped Storage,506.0,,,,,Windhub Substation,230.0,Battery,,,Battery,500.0
SCE,,Northern,660.0,Battery,672.0,,,,,Moorpark Substation,230.0,Battery,,,Battery,660.0
SCE,,Northern,200.0,Battery,214.0983,Solar PV,215.4124,,,Vestal Substation,220.0,Battery,Solar,,Hybrid (Solar+Storage),200.0
SCE,,Northern,500.0,Battery,513.2,,,,,Whirlwind Substation,500.0,Battery,,,Battery,500.0
SCE,,Northern,465.0,Battery,473.0,,,,,Moorpark Substation,230.0,Battery,,,Battery,465.0
SCE,,Northern,250.0,Battery,256.0,,,,,Highwind Substation,230.0,Battery,,,Battery,250.0
