Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),678,2011-03-31 00:00:00,2011-03-31 07:00:00,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,60,60,,60,Partial Capacity,10,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Panoche-Schindler #1 and #2 115 kV Line,2013-09-05 07:00:00,2024-12-20 08:00:00,,,Complete,Complete,,Executed,active,,,,
LASSEN LODGE HYDROELECTRIC,720,2011-03-31 00:00:00,2011-03-31 07:00:00,ACTIVE,C04,Hydro,,,Water,,,4.5,,,4.5,Energy Only,,,,TEHAMA,CA,PGAE,Northern,Vota-South 60 kV,2012-12-15 08:00:00,2027-10-15 07:00:00,,,Complete,Complete,,Executed,active,,,,
REDWOOD SOLAR FARM,744,2011-03-31 00:00:00,2011-03-31 07:00:00,ACTIVE,C04,Photovoltaic,,,Solar,,,90,,,90,Partial Capacity,87,Off-Peak Deliverability,Group D,KERN,CA,PGAE,Kern,Lamont 115 KV,2014-07-01 07:00:00,2024-07-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
BIG SKY SOLAR,768,2011-03-31 00:00:00,2011-03-31 07:00:00,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,320,163.4,,320,Full Capacity,,Off-Peak Deliverability,,LOS ANGELES,CA,SCE,Northern,Antelope Substation 230kV bus,2014-12-31 08:00:00,2023-01-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
WRIGHT SOLAR,779,2011-03-31 00:00:00,2011-03-31 07:00:00,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,200,80,,200,Partial Capacity,49.35,Off-Peak Deliverability,,MERCED,CA,PGAE,Fresno,Los Banos-Panoche #1 230kV Line,2014-01-06 08:00:00,2026-03-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
RIO BRAVO SOLAR 1,900,2012-04-02 00:00:00,2012-04-02 07:00:00,ACTIVE,C05,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Partial Capacity,10,Off-Peak Deliverability,,KERN,CA,PGAE,,Midway Temblor 115 kV line,2014-12-20 08:00:00,2027-06-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
RIO BRAVO SOLAR 2,972,2013-04-30 00:00:00,2013-04-30 07:00:00,ACTIVE,C06,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Partial Capacity,10,Off-Peak Deliverability,,KERN,CA,PGAE,,Midway-Temblor 115kV line,2016-12-31 08:00:00,2027-07-30 07:00:00,,,Complete,Complete,,Executed,active,,,,
SUNSHINE VALLEY SOLAR 1,993,2013-04-30 00:00:00,2013-04-30 07:00:00,ACTIVE,C06,Photovoltaic,Storage,,Solar,Battery,,50,40,,50,Partial Capacity,8,Off-Peak Deliverability,,NYE,NV,VEA,EOP,Valley Substation 138 kV,2016-12-31 08:00:00,2026-12-31 08:00:00,,,Complete,Complete,,Executed,active,,,,
LASSEN LODGE HYDROELECTRIC 2,1002,2013-05-01 00:00:00,2013-04-30 07:00:00,ACTIVE,C06,Hydro,,,Water,,,0.5,,,0.5,Energy Only,,,,TEHAMA,CA,PGAE,Northern,Volta-South 60 kV Line,2015-11-15 08:00:00,2027-10-15 07:00:00,,,Complete,Complete,,Executed,active,,,,
LITTLE BEAR SOLAR 1,1028,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Mendota Substation 115 kV,2016-12-01 08:00:00,2029-02-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
LITTLE BEAR SOLAR 2,1029,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Mendota Substation 115 kV,2018-09-01 07:00:00,2029-02-01 08:00:00,,,Complete,Complete,,Executed,active,,,,
CHULA VISTA ENERGY CENTER 2,1045,2014-04-30 00:00:00,2014-04-30 07:00:00,ACTIVE,C07,Storage,,,Battery,,,50,,,50,Full Capacity,,,Group A,SAN DIEGO,CA,SDGE,SDGE,Otay Substation 69 kV,2019-11-01 07:00:00,2026-04-28 07:00:00,,,Complete,Complete,,Executed,active,,,,
