queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2261,54721,Cassia,Storage/Battery,,,102.15,,,102.15,San Joaquin,CA,PG&E GBA,PGAE,LAMMERS 115 kV,115,2031-03-31,,2024-11-22,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2306,55012,Chronos Energy Storage,Storage/Compressed Air,,,516.8,,,516.8,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-11-30,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2277,54640,Circinus,Storage/Battery,Photovoltaic/Solar,,185.643,185.643,,371.286,Merced,CA,PG&E FRESNO,PGAE,LE GRAND 115 kV,115,2031-12-01,,2024-11-20,,Energy Only Requested,active,,,other,0,1
2339,54511,Comstock,Storage/Battery,Combustion Turbine/Hydrogen,,199.0,199.0,,398.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2227,54896,Conduit Energy Storage 2,Storage/Battery,,,199.0,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-02-26,,2024-11-15,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2226,54667,Container,Photovoltaic/Solar,,,204.57,,,204.57,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,,2024-11-18,,Energy Only Requested,active,,,other,0,1
2344,54593,Cowboy,Photovoltaic/Solar,Storage/Battery,,156.4,155.3,,311.70000000000005,Colusa,CA,PG&E NGBA,PGAE,DELEVAN-CORTINA,230,2030-06-30,,2024-11-27,,Energy Only Requested,active,,,other,0,1
2350,55001,Crusade,Storage/Battery,,,1029.0,,,1029.0,Orange,CA,SCE METRO,SCE,VIEJO 230 kV,230,2028-12-31,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2210,54939,Domestic Chicken,Photovoltaic/Solar,,,559.4,,,559.4,Maricopa,AZ,SAN DIEGO,SDGE,HASSAYAMPA 500 kV,500,2029-12-03,,2024-11-20,,Energy Only Requested,active,,,other,0,1
2286,54774,Dove Cove,Storage/Battery,,,514.368,,,514.368,San Joaquin,CA,PG&E GBA,PGAE,TESLA 500 kV,500,2031-03-14,,2024-11-20,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2304,54914,Droga,Storage/Battery,,,101.93,,,101.93,Merced County,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2028-06-01,,2024-11-20,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2351,54526,Duran,Storage/Battery,Combustion Turbine/Hydrogen,,300.0,300.0,,600.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2342,54960,East Wonder,Photovoltaic/Solar,Storage/Battery,,366.909332,188.82,,555.729332,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-07-31,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2221,54840,Emerita Energy Storage,Storage/Battery,,,205.7,,,205.7,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2028-03-01,,2024-12-01,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2224,54674,Energia Sierra Juarez 4,Wind Turbine/Wind,,,309.1,,,309.1,"Tijuana, Mexico",CA,SAN DIEGO,SDGE,EAST COUNTY 230 kV,230,2030-03-31,,2024-11-27,,Energy Only Requested,active,,,other,0,1
