queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2202,55018,Gibson,Storage/Battery,,,154.598,,,154.598,Merced,CA,PG&E FRESNO,PGAE,MERCY SPRINGS SW STA 70 kV,70,2028-04-14,2025-02-12,,2025-04-24,Energy Only Requested,withdrawn,71.0,,other,1,0
2283,54729,Amargosa SEZ,Photovoltaic/Solar,Storage/Battery,,510.35,508.19,,1018.54,Nye,NV,SCE EOP,GLW,BEATTY 230 kV,230,2030-12-01,2025-02-12,,2025-04-25,Merchant- Full Capacity Deliverability Status Requested,withdrawn,72.0,,other,1,0
2228,54946,Grapevine 2,Storage/Battery,,,505.1,,,505.1,Clark,NV,SCE EOP,SCE,ELDORADO 230 kV,230,2028-06-01,2025-02-12,,2025-04-25,Merchant- Full Capacity Deliverability Status Requested,withdrawn,72.0,,other,1,0
2290,54668,Ashton Energy Center,Photovoltaic/Solar,Storage/Battery,,1026.67,1022.47,,2049.1400000000003,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2032-12-01,2025-02-12,,2025-04-25,Merchant- Full Capacity Deliverability Status Requested,withdrawn,72.0,,other,1,0
2299,54873,Saltgrass,Storage/Battery,Storage/Battery,,4.9995,166.1045,,171.104,Stanislaus,CA,PG&E GBA,PGAE,SALADO 115 kV,115,2028-06-01,2025-02-12,,2025-04-28,Full Capacity Deliverability Status Requested,withdrawn,75.0,,other,1,0
2245,54870,Reed Meadow,Storage/Battery,,,565.769988,,,565.769988,Clark,NV,SCE EOP,GLW,SLOAN CANYON 230 kV,230,2031-12-01,2025-02-12,,2025-04-28,Merchant- Full Capacity Deliverability Status Requested,withdrawn,75.0,,other,1,0
2211,54777,Campito Peak,Storage/Battery,,,565.769988,,,565.769988,Inyo,CA,SCE EOP,GLW,TROUT CANYON 230 kV,230,2031-12-01,2025-02-12,,2025-04-28,Merchant- Full Capacity Deliverability Status Requested,withdrawn,75.0,,other,1,0
2291,54765,Onyx,Photovoltaic/Solar,Storage/Battery,,353.1114,352.9139,,706.0253,Clark,NV,SCE EOP,GLW,DESERT VIEW-INNOVATION,230,2030-12-02,2025-02-12,,2025-04-29,Merchant- Full Capacity Deliverability Status Requested,withdrawn,76.0,,other,1,0
2241,54764,Hiko,Storage/Battery,,,359.798,,,359.798,Clark,NV,SCE EOP,SCE,MOHAVE 500 kV,500,2031-12-02,2025-02-12,,2025-04-29,Merchant- Full Capacity Deliverability Status Requested,withdrawn,76.0,,other,1,0
2309,54763,Cathedral,Photovoltaic/Solar,Storage/Battery,,361.1393,360.3123,,721.4516,Nye,NV,SCE EOP,GLW,TROUT CANYON 500 kV,500,2031-12-02,2025-02-12,,2025-04-29,Merchant- Full Capacity Deliverability Status Requested,withdrawn,76.0,,other,1,0
2270,54580,Chance Solar,Photovoltaic/Solar,Storage/Battery,,895.7719,894.2191,,1789.991,Nye,NV,SCE EOP,GLW,BEATTY 230 kV,230,2028-10-01,2025-02-12,,2025-05-01,Energy Only Requested,withdrawn,78.0,,other,1,0
2242,54571,Borderline Solar,Photovoltaic/Solar,Storage/Battery,,638.1349,629.5905,,1267.7254,Inyo,CA,SCE EOP,GLW,TROUT CANYON 230 kV,230,2028-10-01,2025-02-12,,2025-05-01,Energy Only Requested,withdrawn,78.0,,other,1,0
2326,55047,Aridpeak Storage,Storage/Battery,,,259.36,,,259.36,Kern,CA,PG&E KERN,PGAE,CALIENTE SW STA-MIDWAY #1,230,2030-02-01,2025-02-12,,2025-05-02,Energy Only Requested,withdrawn,79.0,,other,1,0
2334,54507,Esteli Energy Storage,Storage/Battery,,,350.0,,,350.0,Los Angeles,CA,SCE METRO,SCE,OLINDA 230 kV,230,2028-05-26,2025-02-12,,2025-05-11,Full Capacity Deliverability Status Requested,withdrawn,88.0,,other,1,0
2316,54863,Birdrock,Storage/Battery,,,104.96,,,104.96,Los Angeles County,CA,SCE METRO,SCE,Mesa 230KV,230,2029-06-30,2025-02-12,,2025-05-15,Full Capacity Deliverability Status Requested,withdrawn,92.0,,other,1,0
2222,54584,Peach Storage,Storage/Battery,,,103.68,,,103.68,Stanislaus,CA,PG&E GBA,PGAE,PIERCY 115 kV,115,2031-11-01,2025-02-12,,2025-05-20,Full Capacity Deliverability Status Requested,withdrawn,97.0,,other,1,0
2284,54528,POTENTIA-VIRIDI 2,Storage/Battery,,,405.28949,,,405.28949,San Joaquin,CA,PG&E GBA,PGAE,TESLA 500 kV,500,2028-12-15,2025-02-12,,2025-05-20,Full Capacity Deliverability Status Requested,withdrawn,97.0,,other,1,0
2292,54626,BlueWater Solar,Photovoltaic/Solar,Storage/Battery,,1016.4,1014.4,,2030.8,La Paz,AZ,SCE EASTERN,DCRT,Cielo Azul,500,2028-12-29,2025-02-12,,2025-05-27,Energy Only Requested,withdrawn,104.0,,other,1,0
2271,54676,White Oak Solar,Photovoltaic/Solar,Storage/Battery,,407.0,406.2,,813.2,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2029-12-31,2025-02-12,,2025-05-27,Energy Only Requested,withdrawn,104.0,,other,1,0
2371,54627,Connor,Storage/Battery,,,514.8781,,,514.8781,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 500 kV,500,2030-04-30,2025-02-12,,2025-05-27,Full Capacity Deliverability Status Requested,withdrawn,104.0,,other,1,0
2218,54586,Leopard Storage,Storage/Battery,,,458.703,,,458.703,Merced,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2031-11-01,2025-02-12,,2025-05-29,Full Capacity Deliverability Status Requested,withdrawn,106.0,,other,1,0
2324,54930,Goldspur,Storage/Battery,,,506.95128,,,506.95128,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-12-31,2025-02-12,,2025-05-30,Full Capacity Deliverability Status Requested,withdrawn,107.0,,other,1,0
2296,54737,Sing,Storage/Battery,,,405.48,,,405.48,San Diego,CA,SCE METRO,HWT,NORTH OF SONGS 500 kV,500,2030-12-01,2025-02-12,,2025-05-30,Full Capacity Deliverability Status Requested,withdrawn,107.0,,other,1,0
2274,54664,Vantage,Storage/Battery,,,306.59,,,306.59,San Diego County,CA,SCE METRO,SCE,SAN ONOFRE 230 kV,230,2030-12-01,2025-02-12,,2025-05-30,Full Capacity Deliverability Status Requested,withdrawn,107.0,,other,1,0
2338,55053,Raspberry Solar 1,Photovoltaic/Solar,,,15.57,,,15.57,Contra Costa,CA,PG&E GBA,PGAE,SOBRANTE-STANDARD OIL SW STA #1,115,2027-07-01,2025-02-12,,2025-11-12,Energy Only Requested,withdrawn,273.0,,other,1,0
2203,55044,Pinecone,Storage/Battery,,,514.599,,,514.599,Yuma,AZ,SAN DIEGO,SDGE,Hassayampa-Hoodoo Wash,500,2028-04-14,2025-02-12,,2025-11-13,Energy Only Requested,withdrawn,274.0,,other,1,0
2314,54769,Fritts,Photovoltaic/Solar,Storage/Battery,,258.686264,258.193909,,516.880173,Fresno,CA,PG&E KERN,PGAE,GATES 500 kV ,500,2029-09-30,2025-02-12,,2025-11-18,Full Capacity Deliverability Status Requested,withdrawn,279.0,,other,1,0
2335,54770,Superba,Photovoltaic/Solar,Storage/Battery,,205.6961,205.4614,,411.1575,Fresno,CA,PG&E KERN,PGAE,GATES 500 kV ,500,2029-09-30,2025-02-12,,2025-11-18,Full Capacity Deliverability Status Requested,withdrawn,279.0,,other,1,0
2243,54710,Avenida Del Sul,Photovoltaic/Solar,,,151.294846,,,151.294846,Inyo,CA,SCE NOL,SCE,INYOKERN 115 kV,115,2029-03-30,2025-02-12,,2025-11-20,Energy Only Requested,withdrawn,281.0,,other,1,0
2355,54558,Nightcap,Storage/Battery,Combustion Turbine/Hydrogen,,564.5,557.4,,1121.9,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 500 kV,500,2028-08-01,2025-02-12,,2025-11-20,Full Capacity Deliverability Status Requested,withdrawn,281.0,,other,1,0
2354,55026,Buonissimo Energy,Storage/Battery,,,501.63,,,501.63,Kern,CA,PG&E KERN,PGAE,MIDWAY-WHIRLWIND,525,2029-07-30,2025-02-12,,2025-11-25,Full Capacity Deliverability Status Requested,withdrawn,286.0,,other,1,0
2205,54743,La Media,Storage/Battery,,,51.48,,,51.48,Orange,CA,SAN DIEGO,SDGE,SAN MATEO 138 kV,138,2029-05-31,2025-02-12,,2025-11-25,Full Capacity Deliverability Status Requested,withdrawn,286.0,,other,1,0
2281,54843,Chardonnay Storage Center,Storage/Battery,,,204.9,,,204.9,San Joaquin,CA,PG&E GBA,PGAE,GOLD HILL-EIGHT MILE ROAD,230,2030-02-15,2025-02-12,,2025-11-26,Full Capacity Deliverability Status Requested,withdrawn,287.0,,other,1,0
2358,55035,Garden Green Solar,Photovoltaic/Solar,Storage/Battery,,50.46,50.46,,100.92,Santa Clara County,CA,PG&E GBA,PGAE,LLAGAS 115 kV,115,2027-03-01,2025-02-12,,2025-11-26,Full Capacity Deliverability Status Requested,withdrawn,287.0,,other,1,0
2256,54565,Calypso Solar 2,Photovoltaic/Solar,,,407.3264,,,407.3264,Riverside,CA,SCE EASTERN,SCE,COLORADO RIVER 500 kV,500,2028-10-01,2025-02-12,,2025-12-01,Energy Only Requested,withdrawn,292.0,,other,1,0
2217,54579,Baca,Storage/Battery,,,490.734,,,490.734,Merced,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2028-10-01,2025-02-12,,2025-12-01,Full Capacity Deliverability Status Requested,withdrawn,292.0,,other,1,0
2315,54648,Date Palm,Storage/Battery,,,620.58,,,620.58,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-12-31,2025-02-12,,2025-12-01,Full Capacity Deliverability Status Requested,withdrawn,292.0,,other,1,0
2303,54501,RIGHTEOUS ENERGY STORAGE,Storage/Battery,,,500.0,,,500.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-05-27,2025-02-12,,2025-12-01,Full Capacity Deliverability Status Requested,withdrawn,292.0,,other,1,0
2233,54576,Whiptail Solar,Photovoltaic/Solar,,,252.2853,,,252.2853,Fresno,CA,PG&E FRESNO,PGAE,MANNING - TRANQUILITY #1,230,2028-10-01,2025-02-12,,2025-12-01,Energy Only Requested,withdrawn,292.0,,other,1,0
2337,54885,Tumey Hills Energy Storage,Storage/Battery,,,215.75,,,215.75,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2030-06-01,2025-02-12,,2025-12-02,Full Capacity Deliverability Status Requested,withdrawn,293.0,,other,1,0
2310,54616,Icarus Solar,Photovoltaic/Solar,Storage/Battery,,718.2,716.4,,1434.6,Mohave,AZ,SCE EOP,SCE,MOHAVE 500 kV,500,2032-12-31,2025-02-12,,2025-12-02,Energy Only Requested,withdrawn,293.0,,other,1,0
2276,54659,Ace,Storage/Battery,,,303.96,,,303.96,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV ,230,2030-06-01,2025-02-12,,2025-12-02,Full Capacity Deliverability Status Requested,withdrawn,293.0,,other,1,0
2287,54662,Flamingo,Storage/Battery,,,304.19,,,304.19,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV ,230,2030-06-01,2025-02-12,,2025-12-02,Full Capacity Deliverability Status Requested,withdrawn,293.0,,other,1,0
2213,54824,Amberjill Energy,Storage/Battery,Photovoltaic/Solar,,50.19,100.49,,150.68,Imperial,CA,SAN DIEGO,SDGE,IMPERIAL VALLEY 230 kV,230,2029-07-31,2025-02-12,,2025-12-03,Energy Only Requested,withdrawn,294.0,,other,1,0
2347,54646,CRESTLEY,Storage/Battery,,,270.0,,,270.0,MERCED,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2031-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2346,54650,Copper Cloud,Storage/Battery,,,200.0,,,200.0,MERCED,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2031-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2345,54647,Silkie,Storage/Battery,,,400.0,,,400.0,MERCED,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2031-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2348,55006,Victorious,Storage/Battery,,,516.0,,,516.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2363,54749,Castoria BESS,Storage/Battery,,,61.8,,,61.8,Santa Clara,CA,PG&E GBA,PGAE,METCALF 230 kV,230,2030-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2230,55043,HillRich,Storage/Battery,,,308.7,,,308.7,Santa Clara,CA,PG&E GBA,PGAE,MILPITAS 115 kV,115,2028-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2225,54923,Jupiter Bowl,Storage/Battery,,,64.36,,,64.36,Stanislaus,CA,PG&E GBA,PGAE,SALADO 115 kV,115,2028-06-01,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2369,55030,Blue Oak Storage 2,Storage/Battery,,,609.3,,,609.3,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2031-12-31,2025-02-12,,2025-12-03,Full Capacity Deliverability Status Requested,withdrawn,294.0,,other,1,0
2330,54598,Mandorla,Photovoltaic/Solar,Storage/Battery,,103.3,103.0,,206.3,Tehama,CA,PG&E NGBA,PGAE,GLENN 230 kV,230,2030-06-30,2025-02-12,,2025-12-04,Energy Only Requested,withdrawn,295.0,,other,1,0
2307,54592,Redpoint,Photovoltaic/Solar,Storage/Battery,,155.3,154.4,,309.70000000000005,Kings,CA,PG&E FRESNO,PGAE,HENRIETTA 230 kV,230,2028-04-01,2025-02-12,,2025-12-04,Energy Only Requested,withdrawn,295.0,,other,1,0
2255,54595,Mystic Ridge,Photovoltaic/Solar,Storage/Battery,,206.1,206.0,,412.1,San Benito,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2028-04-01,2025-02-12,,2025-12-04,Full Capacity Deliverability Status Requested,withdrawn,295.0,,other,1,0
2278,55003,Grand BESS,Storage/Battery,,,205.0,,,205.0,Santa Clara,CA,PG&E GBA,PGAE,PIERCY 115 kV,115,2028-12-31,2025-02-12,,2025-12-04,Full Capacity Deliverability Status Requested,withdrawn,295.0,,other,1,0
2289,54632,Boson,Photovoltaic/Solar,Storage/Battery,,1173.48,1173.48,,2346.96,Kern,CA,SCE NORTHERN,SCE,Midway - Vincent 500kV #1,500,2028-09-30,2025-02-12,,2025-12-09,Full Capacity Deliverability Status Requested,withdrawn,300.0,,other,1,0
2295,40082,Mount Lassen Power Plant,Biomass/Biofuel,,,11.4,,,11.4,Lassen,CA,PG&E NGBA,PGAE,Caribou - Westwood,60,2028-03-31,2025-02-12,,2025-12-10,Energy Only Requested,withdrawn,301.0,,other,1,0
2364,55036,Castle Rock Energy Storage,Storage/Battery,,,157.6,,,157.6,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-12-31,2025-02-12,,2025-12-12,Full Capacity Deliverability Status Requested,withdrawn,303.0,,other,1,0
2365,55022,Redtail Energy Storage,Storage/Battery,,,22.205,,,22.205,Monterey,CA,PG&E GBA,PGAE,Soledad #2 60kV ,60,2028-10-01,2025-02-12,,2025-12-12,Full Capacity Deliverability Status Requested,withdrawn,303.0,,other,1,0
2367,55023,Blacktail Energy Storage,Storage/Battery,,,10.072,,,10.072,Monterey,CA,PG&E GBA,PGAE,Soledad #1 60kV ,60,2028-10-01,2025-02-12,,2025-12-12,Full Capacity Deliverability Status Requested,withdrawn,303.0,,other,1,0
