,cluster14_net_mw,cluster15_net_mw
count,363.0,170.0
mean,291.9980325068871,495.6955727105883
std,263.51651112032175,464.7115993682046
min,0.0,10.072
25%,125.0,204.9075
50%,210.0,365.54200000000003
75%,400.0,558.4823329999999
max,2000.0,2346.96
