technology,cluster14_intake,cluster15_cohort,historical_completed
solar,0.03856749311294766,0.0,0.3983050847457627
other,0.005509641873278237,1.0,0.2330508474576271
hybrid_solar_storage,0.0,0.0,0.16101694915254236
storage,0.0,0.0,0.1228813559322034
wind,0.024793388429752067,0.0,0.0847457627118644
battery,0.5950413223140496,0.0,0.0
hybrid (solar+storage),0.3168044077134986,0.0,0.0
geothermal,0.0027548209366391185,0.0,0.0
hybrid (other),0.01652892561983471,0.0,0.0
